FIPS,Data
13249,47280
13249,39543
13249,41267
13251,43261
13251,36230
13251,36556
13253,39987
13253,36805
13253,33999
13255,53458
13255,46308
13255,42398
13257,43488
13257,39365
13257,39756
13259,36586
13259,n/a
13259,n/a
13261,45611
13261,36539
13261,34219
13263,39275
13263,n/a
13263,37226
13265,35052
13265,n/a
13265,30500
13267,42305
13267,43403
13267,36355
13269,37115
13269,28435
13269,29875
13271,38516
13271,26901
13271,28044
13273,39803
13273,31446
13273,n/a
13275,45922
13275,40333
13275,41336
13277,48137
13277,41516
13277,38728
13279,39570
13279,35644
13279,35750
13281,47154
13281,44550
13281,41182
13283,36372
13283,n/a
13283,39375
13285,52348
13285,47063
13285,43597
13287,37895
13287,n/a
13287,42622
13289,46650
13289,29882
13289,30629
13291,47070
13291,46531
13291,42767
13293,46049
13293,38882
13293,35375
13295,47827
13295,43630
13295,43581
13297,68597
13297,58275
13297,55876
13299,41856
13299,40018
13299,36962
13301,40389
13301,34977
13301,32860
13303,44144
13303,35359
13303,38097
13305,48359
13305,42072
13305,41534
13307,41313
13307,n/a
13307,n/a
13309,35499
13309,n/a
13309,28490
13311,53256
13311,47047
13311,43944
13313,58116
13313,47711
13313,43871
13315,40562
13315,34685
13315,35457
13317,40799
13317,31573
13317,34234
13319,48295
13319,42705
13319,38711
13321,47795
13321,43570
13321,40369
15001,58747
15001,61965
15001,56395
15003,76619
15003,78975
15003,80078
15005,13774
15005,n/a
15005,n/a
15007,66444
15007,70455
15007,72330
15009,73040
15009,72097
15009,72762
16001,68097
16001,62910
16001,60151
16003,41949
16003,40566
16003,42727
16005,54140
16005,50531
16005,47390
16007,47467
16007,48870
16007,50603
16009,46515
16009,42252
16009,43472
16011,53756
16011,49720
16011,51307
16013,74526
16013,69692
16013,58835
16015,57044
16015,54971
16015,n/a
16017,48413
16017,47258
16017,45607
16019,61699
16019,56837
16019,54150
16021,46121
16021,n/a
16021,39512
16023,44974
16023,44407
16023,n/a
16025,50426
16025,n/a
16025,n/a
16027,52960
16027,48694
16027,46426
16029,55506
16029,50655
16029,58750
16031,49179
16031,44918
16031,48162
16033,46602
